CLDR,6.178616,46.182811
CLGE,6.204763,46.253921
CLIG,6.097875,46.203627
CLJO,6.072611,46.255677
CLLY,6.027503,46.22259
CLMA,6.145064,46.140435
CLYS,6.130181,46.249943
CMAR,6.11757,46.206315
CMOL,6.183356,46.205328
CMRE,6.123652,46.171253
CNAE,6.149524,46.258388
CNDA,6.070351,46.208884
COBC,6.199824,46.248127
COBI,6.162243,46.279639
COCH,6.173871,46.184647
COCU,6.206616,46.211036
CODN,6.12366,46.222985
COLE,6.156811,46.290428
COLO,6.13001,46.255429
COLX,6.11488,46.260525
COMC,6.125865,46.307374
CONF,6.084642,46.173527
COPS,6.122249,46.151597
CORB,6.111623,46.225435
CORD,6.114402,46.205522
CORE,5.976533,46.179188
COSO,6.235946,46.282488
COTR,6.102334,46.162348
COUT,6.142062,46.207363
COVI,6.244697,46.240252
CPAR,6.023064,46.21334
CPBO,6.112145,46.212522
CPEL,6.1354,46.171146
CPLT,6.143559,46.208172
CPOI,6.235559,46.239534
CRBS,6.227349,46.28102
CRCH,6.033638,46.172194
CRCO,6.088969,46.178671
CREN,6.093585,46.196855
CRGE,6.138494,46.179882
CRIG,6.176738,46.216347
CRNR,6.240408,46.208331
CROI,6.092414,46.21909
CROW,6.106446,46.225635
CRRY,6.021742,46.218326
CRSY,6.088245,46.182306
CRTE,6.210364,46.217806
CRUP,5.995651,46.151768
CSLB,6.155687,46.295714
CSSM,6.191424,46.189124
CTGY,6.020009,46.172896
CTIL,6.118225,46.182508
CTMI,6.156318,46.196289
CTNT,6.058867,46.162383
CTRS,6.296302,46.24146
CUIS,6.169725,46.204735
CVER,6.141085,46.173299
CVIN,6.142943,46.21009
CVRN,6.238538,46.283784
CVUE,6.122708,46.195318
CXAB,6.223703,46.192679
CXCE,6.122406,46.270051
CXEC,6.125287,46.272154
CYDN,5.96557,46.144398
CYMA,6.185198,46.219329
CYNO,6.143478,46.297698
CYNT,6.068898,46.316137
CYPR,6.196086,46.186324
CYRA,5.972446,46.149616
CYTE,6.181203,46.216091
CYUS,5.981112,46.156665
CYVI,5.96984,46.150239
CZDN,6.137517,46.144306
CZPL,6.13639,46.145418
DARD,5.994902,46.194729
DEHA,6.197023,46.199802
DELC,6.132079,46.205422
DESI,6.14735,46.216088
DLAY,6.079094,46.216817
DODE,6.093666,46.180437
DOLE,6.131413,46.208887
DRIZ,6.14044,46.169414
DSTA,6.072924,46.141393
DWES,6.210957,46.212199
EAUM,6.018785,46.1632
ECOG,6.154064,46.291926
ECU0,6.105263,46.209913
EDEN,6.149351,46.221904
EDVA,6.090807,46.185018
EGRU,6.152896,46.198544
EMED,6.139274,46.197678
ENVE,6.168493,46.274806
EPIN,6.136682,46.190666
ESRT,6.112598,46.188047
ESSE,6.018954,46.114924
ESTR,5.98523,46.205203
ETOI,6.127842,46.1871
EVAU,6.100074,46.19112
EVOR,6.138089,46.150143
EXPR,6.098354,46.223138
FALQ,6.186492,46.213217
FAVR,6.192445,46.195433
FAYA,6.164246,46.274452
FDUS,6.128192,46.196263
FEMA,6.108113,46.25557
FENE,6.138773,46.230069
FESA,6.122358,46.232884
FEUL,6.112534,46.14864
FILI,6.144832,46.178029
FLCE,6.172108,46.194191
FLIZ,6.149703,46.198814
FLOR,6.112063,46.221239
FLRI,6.154203,46.197524
FOAN,6.2329,46.271795
FOES,5.982364,46.181045
FOLN,6.084207,46.155573
FONT,6.145806,46.184491
FORU,6.080711,46.23097
FOSA,6.192569,46.184936
FOUR,6.191188,46.204497
FRAN,6.119312,46.213074
FRDI,6.187985,46.221007
FRET,6.118303,46.238118
FRON,6.175453,46.206401
FRRE,6.1049,46.212536
FTAI,6.134086,46.244446
FVDO,6.117963,46.251061
GAEV,6.165816,46.200688
GAIN,5.984796,46.178719
GAIU,6.212537,46.259997
GAUT,6.150546,46.213578
GAVA,6.135485,46.18493
GCAN,6.174859,46.199584
GCHN,6.103314,46.190016
