GSDN,TRTI,863.1783034137981
POLT,PAGN,747.1570072096569
GDHA,ICC0,329.8839528565074
PRGM,SIGN,933.6341950844444
WTC0,AERO,501.8637047671775
TRTI,GSDN,856.6226083741853
JAGI,AJUR,363.5439454821463
ZIMG,PRGM,1363.6168475736163
SHUM,MLVT,893.6115070958543
SIGN,RENF,1242.2938353057493
RENF,SIGN,1242.2938353057498
BRUN,FVDO,398.6835176258885
THGA,VATH,1712.4659748869526
VATH,THGA,1583.2294970753162
AREN,AERO,563.1605066698606
CFUS,HTAI,352.3592891173038
POLT,SGBO,1265.1739592793888
SGBO,POLT,1265.173959279389
PRGM,ZIMG,1385.4170221680397
BLDO,GDHA,367.60188181444886
MLVT,SHUM,908.1236996394459
SIGN,PRGM,939.5063234872526
GDHA,BLDO,370.91547366769083
LMLD,ZIMG,685.3899438015346
ZIMG,LMLD,685.3899438015349
CERN,MAIX,639.6437497138476
MAIX,CERN,639.6437497138477
AERO,AREN,414.31716173549967
HTOU,MAIX,942.0314771490457
FRET,PXPH,370.028905815296
SGGA,JMON,1620.0437238242457
VROT,PFON,647.6696276415794
AJUR,FEMA,1012.5882522947488
SHUM,CERN,3749.577789293019
ICC0,TOCO,482.1474332781991
BLDO,RENF,383.0967697219641
FVDO,GSDN,296.1476451705834
RENF,BLDO,382.0623915573194
HTOU,MAIL,210.5240516453002
AJUR,JAGI,416.08592923981627
CERN,SHUM,3502.8991423255325
TRTI,FRET,924.5953259756956
SGBO,SGGA,1467.0368037668159
SGGA,SGBO,1467.0368037668159
THMA,THGA,561.2897555262913
HTAI,PLIO,438.1517863163373
HTAI,CFUS,408.0847889012633
VROT,MAIL,424.308939850101
AREN,PXPH,752.1862510654696
MAIL,VROT,452.64815813462656
THGA,THMA,704.078653957173
JMON,CFUS,885.8019899134497
LMLD,PFON,388.6698186213777
FVDO,BRUN,344.7912429412724
GSDN,FVDO,203.50657380178157
CFUS,JMON,895.7061448076608
PAGN,POLT,713.9940613793224
MAIX,HTOU,1005.0079469662353
PFON,LMLD,288.14630431116905
JMON,SGGA,1566.8650983604432
PXPH,AREN,531.0922640980341
PLIO,MLVT,353.83169551347027
FRET,TRTI,1075.2795255346618
AERO,WTC0,351.0997927430236
TOCO,WTC0,301.7403396623301
MLVT,PLIO,505.67222830218066
JAGI,BRUN,369.555457473097
ICC0,GDHA,308.9300062888087
FEMA,AJUR,689.3336084986079
PLIO,HTAI,219.54243636957662
TOCO,ICC0,433.6922571107821
WTC0,TOCO,280.908537430475
PFON,VROT,577.9316587937814
BRUN,JAGI,376.6969091479217
THMA,PAGN,1175.4768494448297
PAGN,THMA,1168.1995376844495
PXPH,FRET,1341.1197476812756
MAIL,HTOU,273.50052146248976
